"filename", "language", "Markdown", "C++", "LinkerScript", "C", "Properties", "x86 and x86_64 Assembly", "Makefile", "comment", "blank", "total"
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/memory/address_space.c", "C", 0, 0, 0, 229, 0, 0, 0, 0, 74, 303
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/memory/address_space.h", "C++", 0, 31, 0, 0, 0, 0, 0, 0, 16, 47
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/memory/heap.c", "C", 0, 0, 0, 143, 0, 0, 0, 0, 43, 186
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/memory/heap.h", "C++", 0, 14, 0, 0, 0, 0, 0, 0, 8, 22
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/memory/malloc.c", "C", 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/memory/malloc.h", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 6, 18
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/memory/memory.h", "C++", 0, 16, 0, 0, 0, 0, 0, 0, 6, 22
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/memory/pmm.c", "C", 0, 0, 0, 209, 0, 0, 0, 0, 65, 274
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/memory/pmm.h", "C++", 0, 16, 0, 0, 0, 0, 0, 0, 10, 26
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/memory/vmm.c", "C", 0, 0, 0, 202, 0, 0, 0, 0, 70, 272
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/memory/vmm.h", "C++", 0, 27, 0, 0, 0, 0, 0, 0, 14, 41
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/network/arp/arp.c", "C", 0, 0, 0, 134, 0, 0, 0, 0, 28, 162
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/network/arp/arp.h", "C++", 0, 13, 0, 0, 0, 0, 0, 0, 7, 20
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/network/dhcp/dhcp.c", "C", 0, 0, 0, 268, 0, 0, 0, 0, 57, 325
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/network/dhcp/dhcp.h", "C++", 0, 13, 0, 0, 0, 0, 0, 0, 7, 20
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/network/icmp/icmp.c", "C", 0, 0, 0, 76, 0, 0, 0, 0, 21, 97
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/network/icmp/icmp.h", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 6, 18
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/network/ipv4/ipv4.c", "C", 0, 0, 0, 164, 0, 0, 0, 0, 40, 204
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/network/ipv4/ipv4.h", "C++", 0, 22, 0, 0, 0, 0, 0, 0, 14, 36
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/network/ipv6/ipv6.c", "C", 0, 0, 0, 27, 0, 0, 0, 0, 6, 33
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/network/ipv6/ipv6.h", "C++", 0, 15, 0, 0, 0, 0, 0, 0, 7, 22
